episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,experiment_tag,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
418.0109959086236,107.65898424487402,207.9697845088814,1500.0,19,30000,False,30000,19,1,3b193899e7b343338eaa45be75078c04,2020-07-16_12-57-48,1594871868,58.50407862663269,58.50407862663269,5806,bmil-X570-AORUS-ELITE-WIFI,192.168.0.12,58.50407862663269,30000,1,2,702cb9a8,0,3.112748151056253,0.0872006572642679,0.3544670405418459,29952,30000,54725.091,52.431,3185.769,495.269,7.2178571428571425,3.1964285714285707,0.20000000298023224,4.999999873689376e-05,8.684918,-0.0019085925,8.686186,0.017199807,0.003211373,1.4231082,0.0
414.20974438738546,107.67978620067615,203.20669693096556,1500.0,19,30000,False,30000,19,1,22dfbfdef6ff449abca26e1c3ff80e85,2020-07-16_12-59-13,1594871953,58.33184051513672,58.33184051513672,6091,bmil-X570-AORUS-ELITE-WIFI,192.168.0.12,58.33184051513672,30000,1,2,702cb9a8,0,3.0865614697179735,0.0865936944579081,0.35780717168252957,29952,30000,54517.134,50.973,3200.937,518.577,7.167857142857143,3.189285714285713,0.20000000298023224,4.999999873689376e-05,9.080215,-0.000801308,9.080746,0.0010192741,0.0013607467,1.4214919,0.0
441.45142093016926,107.67978620067615,269.93807425439536,1500.0,20,30000,False,60000,39,2,22dfbfdef6ff449abca26e1c3ff80e85,2020-07-16_13-00-11,1594872011,57.29869031906128,115.630530834198,6091,bmil-X570-AORUS-ELITE-WIFI,192.168.0.12,115.630530834198,60000,2,2,702cb9a8,0,3.1058239956229787,0.08688475968815569,0.3566164373090219,59904,60000,54419.82,29.725,3079.21,260.39,7.136585365853658,3.1999999999999997,0.10000000149011612,4.999999873689376e-05,13.943014,-0.0007698946,13.943713,0.00014548934,0.0007205688,1.4159249,0.0
443.542738345837,107.67978620067615,294.8632376493596,1500.0,20,30000,False,90000,59,3,22dfbfdef6ff449abca26e1c3ff80e85,2020-07-16_13-01-08,1594872068,57.410836935043335,173.04136776924133,6091,bmil-X570-AORUS-ELITE-WIFI,192.168.0.12,173.04136776924133,90000,3,2,702cb9a8,0,3.1163602387024616,0.08702320853613837,0.35556145084912466,89856,90000,54425.448,22.457,3038.156,174.489,7.159259259259259,3.1999999999999997,0.05000000074505806,4.999999873689376e-05,16.025927,-0.0009957929,16.026875,4.9733455e-05,0.0009446109,1.4381341,0.0
403.72500186653315,103.17778760191507,197.84426815996312,1500.0,20,30000,False,30000,20,1,4c2bbc7cc727401f8bf42d22cdcacb96,2020-07-16_13-02-25,1594872145,58.71535921096802,58.71535921096802,6402,bmil-X570-AORUS-ELITE-WIFI,192.168.0.12,58.71535921096802,30000,1,2,702cb9a8,0,3.127119992702899,0.08884953400364129,0.3564046642063665,29952,30000,55028.7,53.292,3085.296,507.004,7.013095238095237,3.1964285714285707,0.20000000298023224,4.999999873689376e-05,8.325145,-0.00045030442,8.325341,0.008693544,0.001267625,1.4170611,0.0
477.87684060793345,103.17778760191507,274.7090242007777,1500.0,20,30000,False,60000,40,2,4c2bbc7cc727401f8bf42d22cdcacb96,2020-07-16_13-03-22,1594872202,56.84912109375,115.56448030471802,6402,bmil-X570-AORUS-ELITE-WIFI,192.168.0.12,115.56448030471802,60000,2,2,702cb9a8,0,3.130336676998197,0.08879954788464843,0.3550284045393338,59904,60000,54459.526,30.635,3012.996,254.725,7.193827160493826,3.1999999999999997,0.10000000149011612,4.999999873689376e-05,16.200516,-0.00091710547,16.201193,0.00040256415,0.0024122938,1.3917726,0.0
293.4889229012818,104.83216163002197,185.10427256186733,1500.0,19,30000,False,30000,19,1,4e393f1419d842baa8a5f59f25fc40e6,2020-07-16_13-04-57,1594872297,58.49793267250061,58.49793267250061,6693,bmil-X570-AORUS-ELITE-WIFI,192.168.0.12,58.49793267250061,30000,1,2,702cb9a8,0,3.104563843853098,0.08771524982018612,0.3490934029654927,29952,30000,54712.91,52.528,3176.764,514.008,7.1726190476190474,3.1964285714285707,0.20000000298023224,4.999999873689376e-05,7.1118464,-0.0007857176,7.112453,0.010546876,0.0008993177,1.4148937,0.0
425.5816373981201,116.15585164799546,234.38710971519086,1500.0,20,30000,False,30000,20,1,ebb2b503028442f6a7b1eec1d18e6853,2020-07-16_13-06-46,1594872406,59.98127198219299,59.98127198219299,6994,bmil-X570-AORUS-ELITE-WIFI,192.168.0.12,59.98127198219299,30000,1,2,702cb9a8,0,3.2007689078993247,0.0888923590727293,0.37322631002100265,29952,30000,56244.969,52.279,3139.205,501.849,7.169767441860466,3.196511627906976,0.20000000298023224,4.999999873689376e-05,8.937477,-7.652737e-05,8.937368,0.0036078715,0.00092800386,1.4098715,0.0
483.78032534182375,116.15585164799546,283.0360977873887,1500.0,20,30000,False,60000,40,2,ebb2b503028442f6a7b1eec1d18e6853,2020-07-16_13-07-43,1594872463,57.74049210548401,117.721764087677,6994,bmil-X570-AORUS-ELITE-WIFI,192.168.0.12,117.721764087677,60000,2,2,702cb9a8,0,3.1965994496442898,0.08877597431967411,0.3679372314381275,59904,60000,55510.137,31.215,3042.437,252.321,7.112048192771082,3.1999999999999997,0.10000000149011612,4.999999873689376e-05,14.416274,-0.0015557801,14.417405,0.00014910815,0.0042489585,1.406963,0.0
407.64194550065776,107.52170335077084,197.12195292233605,1500.0,19,30000,False,30000,19,1,469f5c8587314acd8cfbc8cac3249380,2020-07-16_13-09-14,1594872554,58.430588483810425,58.430588483810425,7288,bmil-X570-AORUS-ELITE-WIFI,192.168.0.12,58.430588483810425,30000,1,2,702cb9a8,0,3.107725213052925,0.08849210320213768,0.3564813675879488,29952,30000,54689.332,53.632,3130.549,514.164,7.051190476190476,3.1964285714285707,0.20000000298023224,4.999999873689376e-05,7.8085923,-0.00069904403,7.8090467,0.004107068,0.0012204556,1.4294263,0.0
